component_id,lot_id,hour,parameter_name,value,is_defective
C_00001,LOT_000,0,leakage_ua,10.3478,False
C_00001,LOT_000,24,leakage_ua,10.484,False
C_00001,LOT_000,96,leakage_ua,10.5903,False
C_00001,LOT_000,168,leakage_ua,10.9982,False
C_00001,LOT_000,0,iddq_ua,22.0624,False
C_00001,LOT_000,24,iddq_ua,23.0609,False
C_00001,LOT_000,96,iddq_ua,22.8495,False
C_00001,LOT_000,168,iddq_ua,22.9305,False
C_00001,LOT_000,0,prop_delay_ns,4.6645,False
C_00001,LOT_000,24,prop_delay_ns,4.7195,False
C_00001,LOT_000,96,prop_delay_ns,4.8892,False
C_00001,LOT_000,168,prop_delay_ns,4.9429,False
C_00002,LOT_000,0,leakage_ua,10.5247,False
C_00002,LOT_000,24,leakage_ua,10.8687,False
C_00002,LOT_000,96,leakage_ua,11.8262,False
C_00002,LOT_000,168,leakage_ua,12.4351,False
C_00002,LOT_000,0,iddq_ua,22.0132,False
C_00002,LOT_000,24,iddq_ua,22.2097,False
C_00002,LOT_000,96,iddq_ua,22.3103,False
C_00002,LOT_000,168,iddq_ua,21.9138,False
C_00002,LOT_000,0,prop_delay_ns,5.0603,False
C_00002,LOT_000,24,prop_delay_ns,5.0291,False
C_00002,LOT_000,96,prop_delay_ns,5.1347,False
C_00002,LOT_000,168,prop_delay_ns,5.1223,False
C_00003,LOT_000,0,leakage_ua,10.6571,False
C_00003,LOT_000,24,leakage_ua,10.7238,False
C_00003,LOT_000,96,leakage_ua,10.9668,False
C_00003,LOT_000,168,leakage_ua,11.4737,False
C_00003,LOT_000,0,iddq_ua,20.6044,False
C_00003,LOT_000,24,iddq_ua,21.0973,False
C_00003,LOT_000,96,iddq_ua,21.6167,False
C_00003,LOT_000,168,iddq_ua,21.9048,False
C_00003,LOT_000,0,prop_delay_ns,5.2269,False
C_00003,LOT_000,24,prop_delay_ns,5.1504,False
C_00003,LOT_000,96,prop_delay_ns,5.0956,False
C_00003,LOT_000,168,prop_delay_ns,5.1558,False
C_00004,LOT_000,0,leakage_ua,10.5836,True
C_00004,LOT_000,24,leakage_ua,16.263,True
C_00004,LOT_000,96,leakage_ua,25.2539,True
C_00004,LOT_000,168,leakage_ua,31.8559,True
C_00004,LOT_000,0,iddq_ua,22.3081,True
C_00004,LOT_000,24,iddq_ua,26.9733,True
C_00004,LOT_000,96,iddq_ua,33.7686,True
C_00004,LOT_000,168,iddq_ua,37.488,True
C_00004,LOT_000,0,prop_delay_ns,4.9742,True
C_00004,LOT_000,24,prop_delay_ns,5.6383,True
C_00004,LOT_000,96,prop_delay_ns,6.9438,True
C_00004,LOT_000,168,prop_delay_ns,8.0518,True
C_00005,LOT_000,0,leakage_ua,9.5413,False
C_00005,LOT_000,24,leakage_ua,9.3928,False
C_00005,LOT_000,96,leakage_ua,9.6503,False
C_00005,LOT_000,168,leakage_ua,10.0885,False
C_00005,LOT_000,0,iddq_ua,21.3244,False
C_00005,LOT_000,24,iddq_ua,21.2736,False
C_00005,LOT_000,96,iddq_ua,21.8572,False
C_00005,LOT_000,168,iddq_ua,22.5834,False
C_00005,LOT_000,0,prop_delay_ns,4.3446,False
C_00005,LOT_000,24,prop_delay_ns,4.3037,False
C_00005,LOT_000,96,prop_delay_ns,4.4988,False
C_00005,LOT_000,168,prop_delay_ns,4.4954,False
C_00006,LOT_000,0,leakage_ua,10.1668,False
C_00006,LOT_000,24,leakage_ua,10.7227,False
C_00006,LOT_000,96,leakage_ua,11.2214,False
C_00006,LOT_000,168,leakage_ua,11.8329,False
C_00006,LOT_000,0,iddq_ua,22.4301,False
C_00006,LOT_000,24,iddq_ua,22.9191,False
C_00006,LOT_000,96,iddq_ua,23.0714,False
C_00006,LOT_000,168,iddq_ua,23.5133,False
C_00006,LOT_000,0,prop_delay_ns,4.3677,False
C_00006,LOT_000,24,prop_delay_ns,4.4414,False
C_00006,LOT_000,96,prop_delay_ns,4.6202,False
C_00006,LOT_000,168,prop_delay_ns,4.715,False
C_00007,LOT_000,0,leakage_ua,11.6586,False
C_00007,LOT_000,24,leakage_ua,12.4695,False
C_00007,LOT_000,96,leakage_ua,12.5686,False
C_00007,LOT_000,168,leakage_ua,12.9426,False
C_00007,LOT_000,0,iddq_ua,21.1427,False
C_00007,LOT_000,24,iddq_ua,21.2236,False
C_00007,LOT_000,96,iddq_ua,21.1107,False
C_00007,LOT_000,168,iddq_ua,21.0178,False
C_00007,LOT_000,0,prop_delay_ns,4.7745,False
C_00007,LOT_000,24,prop_delay_ns,4.889,False
C_00007,LOT_000,96,prop_delay_ns,4.808,False
C_00007,LOT_000,168,prop_delay_ns,4.7911,False
C_00008,LOT_000,0,leakage_ua,10.0809,True
C_00008,LOT_000,24,leakage_ua,20.2446,True
C_00008,LOT_000,96,leakage_ua,37.4311,True
C_00008,LOT_000,168,leakage_ua,50.1918,True
C_00008,LOT_000,0,iddq_ua,21.8678,True
C_00008,LOT_000,24,iddq_ua,28.5799,True
C_00008,LOT_000,96,iddq_ua,36.771,True
C_00008,LOT_000,168,iddq_ua,42.606,True
C_00008,LOT_000,0,prop_delay_ns,4.9443,True
