component_id,lot_id,is_defective,Value_0h_iddq_ua,Value_24h_iddq_ua,Value_96h_iddq_ua,Value_168h_iddq_ua,Value_0h_leakage_ua,Value_24h_leakage_ua,Value_96h_leakage_ua,Value_168h_leakage_ua,Value_0h_prop_delay_ns,Value_24h_prop_delay_ns,Value_96h_prop_delay_ns,Value_168h_prop_delay_ns
C_00001,LOT_000,False,22.0624,23.0609,22.8495,22.9305,10.3478,10.484,10.5903,10.9982,4.6645,4.7195,4.8892,4.9429
C_00002,LOT_000,False,22.0132,22.2097,22.3103,21.9138,10.5247,10.8687,11.8262,12.4351,5.0603,5.0291,5.1347,5.1223
C_00003,LOT_000,False,20.6044,21.0973,21.6167,21.9048,10.6571,10.7238,10.9668,11.4737,5.2269,5.1504,5.0956,5.1558
C_00004,LOT_000,True,22.3081,26.9733,33.7686,37.488,10.5836,16.263,25.2539,31.8559,4.9742,5.6383,6.9438,8.0518
C_00005,LOT_000,False,21.3244,21.2736,21.8572,22.5834,9.5413,9.3928,9.6503,10.0885,4.3446,4.3037,4.4988,4.4954
C_00006,LOT_000,False,22.4301,22.9191,23.0714,23.5133,10.1668,10.7227,11.2214,11.8329,4.3677,4.4414,4.6202,4.715
C_00007,LOT_000,False,21.1427,21.2236,21.1107,21.0178,11.6586,12.4695,12.5686,12.9426,4.7745,4.889,4.808,4.7911
C_00008,LOT_000,True,21.8678,28.5799,36.771,42.606,10.0809,20.2446,37.4311,50.1918,4.9443,6.0244,8.0073,9.4113
C_00009,LOT_000,False,24.8486,23.821,24.1787,25.0968,11.0942,10.9967,11.307,12.2361,4.8214,4.954,4.8824,4.9791
C_00010,LOT_000,False,22.3599,22.3357,22.9016,22.3956,10.1538,10.3862,10.8365,10.5198,4.717,4.6288,4.7941,4.8512
C_00011,LOT_000,False,20.8548,20.6383,21.0532,21.0397,11.1954,11.5358,11.9676,12.3433,5.0852,4.7723,4.8279,5.1437
C_00012,LOT_000,False,21.8335,22.5284,22.7373,23.1134,9.9702,9.569,9.9076,10.2544,4.7565,4.813,4.8531,4.903
C_00013,LOT_000,False,22.6258,24.1547,24.2643,23.7583,10.8949,10.7956,10.7957,10.9076,4.7386,4.7923,4.8427,4.9331
C_00014,LOT_000,False,23.9891,24.261,23.9536,24.4184,8.8213,8.8334,8.7974,9.3214,5.4124,5.3761,5.5896,5.5123
C_00015,LOT_000,False,23.7599,22.9924,24.0705,23.8094,10.3827,10.098,10.7481,10.7419,4.6863,4.7074,4.8994,4.8549
C_00016,LOT_000,False,24.2855,23.3762,25.0043,24.5829,10.0758,10.8834,11.2496,11.6395,5.2646,5.2094,5.2656,5.3144
C_00017,LOT_000,False,21.2569,21.0775,21.831,21.7729,10.4793,10.1978,10.6159,11.1191,5.1319,4.9899,5.4402,5.2908
C_00018,LOT_000,True,22.2669,26.7993,32.9346,36.9735,10.8221,13.9774,19.0153,22.6772,4.9984,5.71,7.2705,8.5196
C_00019,LOT_000,False,20.233,19.906,20.2009,20.6267,10.097,10.4638,10.1729,10.5283,5.2856,5.472,5.3973,5.3463
C_00020,LOT_000,False,19.7628,21.1516,20.8307,21.0716,9.5967,9.871,9.4468,9.9059,4.573,4.6482,4.7011,4.8292
C_00021,LOT_000,False,24.5196,25.4089,24.9994,25.9397,9.6577,9.7475,10.0152,10.3849,4.7419,4.73,4.8878,5.0039
C_00022,LOT_000,False,22.1746,22.9006,24.3226,23.4138,11.651,11.7553,12.2304,12.6808,5.321,5.349,5.3567,5.544
