component_id,lot_id,is_defective,Value_0h_iddq_ua,Value_24h_iddq_ua,Value_96h_iddq_ua,Value_168h_iddq_ua,Value_0h_leakage_ua,Value_24h_leakage_ua,Value_96h_leakage_ua,Value_168h_leakage_ua,Value_0h_prop_delay_ns,Value_24h_prop_delay_ns,Value_96h_prop_delay_ns,Value_168h_prop_delay_ns,lot_mean_168h_iddq_ua,lot_std_168h_iddq_ua,zscore_168h_iddq_ua,flag_zscore_iddq_ua,iqr_lower_iddq_ua,iqr_upper_iddq_ua,flag_iqr_iddq_ua,lot_mean_168h_leakage_ua,lot_std_168h_leakage_ua,zscore_168h_leakage_ua,flag_zscore_leakage_ua,iqr_lower_leakage_ua,iqr_upper_leakage_ua,flag_iqr_leakage_ua,lot_mean_168h_prop_delay_ns,lot_std_168h_prop_delay_ns,zscore_168h_prop_delay_ns,flag_zscore_prop_delay_ns,iqr_lower_prop_delay_ns,iqr_upper_prop_delay_ns,flag_iqr_prop_delay_ns,if_score,flag_isoforest,flag_param_iddq_ua,flag_param_leakage_ua,flag_param_prop_delay_ns,flag_module_a,triggered_parameters,anomaly_score,flag_module_b,predicted_168h_iddq_ua,predicted_slope_iddq_ua,flag_param_b_iddq_ua,predicted_168h_leakage_ua,predicted_slope_leakage_ua,flag_param_b_leakage_ua,predicted_168h_prop_delay_ns,predicted_slope_prop_delay_ns,flag_param_b_prop_delay_ns,final_flag,explanation,triggered_parameters_all
C_00001,LOT_000,False,22.0624,23.0609,22.8495,22.9305,10.3478,10.484,10.5903,10.9982,4.6645,4.7195,4.8892,4.9429,23.76418,4.67936166259174,-0.17816105274886018,False,16.518725000000003,28.605974999999997,False,12.966695000000001,7.125303719192858,-0.27626822344395285,False,7.945874999999997,14.559625000000002,False,5.2569,1.0345501581574428,-0.30351355854919704,False,4.142325,5.921450000000001,False,0.31634713855718716,False,False,False,False,False,,11.7,False,23.270992,0.001458974160088432,False,10.841049,0.002479508293999566,False,4.868608,0.0010354722075992158,False,False,No issues detected.,
C_00002,LOT_000,False,22.0132,22.2097,22.3103,21.9138,10.5247,10.8687,11.8262,12.4351,5.0603,5.0291,5.1347,5.1223,23.76418,4.67936166259174,-0.39543427788292357,False,16.518725000000003,28.605974999999997,False,12.966695000000001,7.125303719192858,-0.07460664428494275,False,7.945874999999997,14.559625000000002,False,5.2569,1.0345501581574428,-0.13010485662650276,False,4.142325,5.921450000000001,False,0.29807606720586943,False,False,False,False,False,,13.4,False,22.54449,0.002324936209784603,False,11.327882,0.0031887625906202497,False,5.166776,0.0009560845851898216,False,False,No issues detected.,
C_00003,LOT_000,False,20.6044,21.0973,21.6167,21.9048,10.6571,10.7238,10.9668,11.4737,5.2269,5.1504,5.0956,5.1558,23.76418,4.67936166259174,-0.39735761714347817,False,16.518725000000003,28.605974999999997,False,12.966695000000001,7.125303719192858,-0.20953422602582422,False,7.945874999999997,14.559625000000002,False,5.2569,1.0345501581574428,-0.097723633023324,False,4.142325,5.921450000000001,False,0.29017901868672075,False,False,False,False,False,,13.8,False,21.501762,0.0028087665981716536,False,11.235902,0.0035562627262539287,False,5.281207,0.0009083825323316765,False,False,No issues detected.,
C_00004,LOT_000,True,22.3081,26.9733,33.7686,37.488,10.5836,16.263,25.2539,31.8559,4.9742,5.6383,6.9438,8.0518,23.76418,4.67936166259174,2.9328402011993324,False,16.518725000000003,28.605974999999997,True,12.966695000000001,7.125303719192858,2.6510034862260907,False,7.945874999999997,14.559625000000002,True,5.2569,1.0345501581574428,2.7015606521947473,False,4.142325,5.921450000000001,True,0.02239944757189216,False,True,True,True,True,"iddq_ua,leakage_ua,prop_delay_ns",48.3,True,36.81148,0.06832070469326444,True,32.06018,0.10970264350043402,True,8.048534,0.016737738842434353,True,True,"[Module B - leakage current] The strongest driver was delta_24h_leakage_ua (5.679), which pushed the predicted 168h value up by 13.45uA relative to baseline. [Module B - Iddq (standby current)] The strongest driver was delta_24h_iddq_ua (4.665), which pushed the predicted 168h value up by 6.71uA relative to baseline. [Module B - propagation delay] The strongest driver was Value_24h_prop_delay_ns (5.638), which pushed the predicted 168h value up by 1.76ns relative to baseline. [Module A - Iddq (standby current)] Flagged because 168h Iddq (standby current) (37.49uA) falls outside the lot's normal IQR range [16.52, 28.61]uA. [Module A - leakage current] Flagged because 168h leakage current (31.86uA) falls outside the lot's normal IQR range [7.95, 14.56]uA. [Module A - propagation delay] Flagged because 168h propagation delay (8.05ns) falls outside the lot's normal IQR range [4.14, 5.92]ns.","Iddq (standby current), leakage current, propagation delay"
C_00005,LOT_000,False,21.3244,21.2736,21.8572,22.5834,9.5413,9.3928,9.6503,10.0885,4.3446,4.3037,4.4988,4.4954,23.76418,4.67936166259174,-0.2523378368976089,False,16.518725000000003,28.605974999999997,False,12.966695000000001,7.125303719192858,-0.40393997413011873,False,7.945874999999997,14.559625000000002,False,5.2569,1.0345501581574428,-0.7360687096662849,False,4.142325,5.921450000000001,False,0.2033808954651357,False,False,False,False,False,,21.0,False,22.01232,0.005129996977912067,False,9.967809,0.003993116135067414,False,4.4706492,0.0011593697388966873,False,False,No issues detected.,
C_00006,LOT_000,False,22.4301,22.9191,23.0714,23.5133,10.1668,10.7227,11.2214,11.8329,4.3677,4.4414,4.6202,4.715,23.76418,4.67936166259174,-0.05361415040979003,False,16.518725000000003,28.605974999999997,False,12.966695000000001,7.125303719192858,-0.15912233985843838,False,7.945874999999997,14.559625000000002,False,5.2569,1.0345501581574428,-0.5238025394197766,False,4.142325,5.921450000000001,False,0.26467763227639884,False,False,False,False,False,,16.1,False,23.543955,0.00433926978641086,False,11.095895,0.002591630649566653,False,4.652383,0.0014651586850484228,False,False,No issues detected.,
C_00007,LOT_000,False,21.1427,21.2236,21.1107,21.0178,11.6586,12.4695,12.5686,12.9426,4.7745,4.889,4.808,4.7911,23.76418,4.67936166259174,-0.5869133864893169,False,16.518725000000003,28.605974999999997,False,12.966695000000001,7.125303719192858,-0.0033816102372026756,False,7.945874999999997,14.559625000000002,False,5.2569,1.0345501581574428,-0.4502439986376302,False,4.142325,5.921450000000001,False,0.19766532896873962,False,False,False,False,False,,20.0,False,21.93819,0.004962433751424146,False,12.815227,0.0024008788532680933,False,4.9574885,0.00047561483912997613,False,False,No issues detected.,
C_00008,LOT_000,True,21.8678,28.5799,36.771,42.606,10.0809,20.2446,37.4311,50.1918,4.9443,6.0244,8.0073,9.4113,23.76418,4.67936166259174,4.026579127368445,True,16.518725000000003,28.605974999999997,True,12.966695000000001,7.125303719192858,5.224353440503838,True,7.945874999999997,14.559625000000002,True,5.2569,1.0345501581574428,4.015658368270013,True,4.142325,5.921450000000001,True,-0.07941622320943575,True,True,True,True,True,"iddq_ua,leakage_ua,prop_delay_ns",72.5,True,44.0954,0.10774654002719457,True,50.2614,0.20844998830159506,True,9.2617,0.022481247753567166,True,True,"[Module B - leakage current] The strongest driver was delta_24h_leakage_ua (10.164), which pushed the predicted 168h value up by 28.43uA relative to baseline. [Module B - Iddq (standby current)] The strongest driver was delta_24h_iddq_ua (6.712), which pushed the predicted 168h value up by 12.56uA relative to baseline. [Module A - leakage current] Flagged because 168h leakage current is 5.2sigma from its lot's mean (50.19uA vs lot mean 12.97uA); and 168h leakage current (50.19uA) falls outside the lot's normal IQR range [7.95, 14.56]uA. [Module A - Iddq (standby current)] Flagged because 168h Iddq (standby current) is 4.0sigma from its lot's mean (42.61uA vs lot mean 23.76uA); and 168h Iddq (standby current) (42.61uA) falls outside the lot's normal IQR range [16.52, 28.61]uA. [Module A - propagation delay] Flagged because 168h propagation delay is 4.0sigma from its lot's mean (9.41ns vs lot mean 5.26ns); and 168h propagation delay (9.41ns) falls outside the lot's normal IQR range [4.14, 5.92]ns. [Module B - propagation delay] The strongest driver was Value_24h_prop_delay_ns (6.024), which pushed the predicted 168h value up by 2.40ns relative to baseline.","Iddq (standby current), leakage current, propagation delay"
C_00009,LOT_000,False,24.8486,23.821,24.1787,25.0968,11.0942,10.9967,11.307,12.2361,4.8214,4.954,4.8824,4.9791,23.76418,4.67936166259174,0.2847867072668004,False,16.518725000000003,28.605974999999997,False,12.966695000000001,7.125303719192858,-0.10253527832533735,False,7.945874999999997,14.559625000000002,False,5.2569,1.0345501581574428,-0.2685225049839711,False,4.142325,5.921450000000001,False,0.2361159041920481,False,False,False,False,False,,15.6,False,25.072893,0.008693702379862457,False,11.644086,0.004495735306209984,False,4.9503818,-2.5126695632932743e-05,False,False,No issues detected.,
C_00010,LOT_000,False,22.3599,22.3357,22.9016,22.3956,10.1538,10.3862,10.8365,10.5198,4.717,4.6288,4.7941,4.8512,23.76418,4.67936166259174,-0.2924715161345293,False,16.518725000000003,28.605974999999997,False,12.966695000000001,7.125303719192858,-0.3434092210566403,False,7.945874999999997,14.559625000000002,False,5.2569,1.0345501581574428,-0.3921511168898378,False,4.142325,5.921450000000001,False,0.3124089539754381,False,False,False,False,False,,12.6,False,23.097195,0.005288157441880974,False,10.747606,0.0025097658157348596,False,4.7873435,0.0011009965419769285,False,False,No issues detected.,
