component_id,lot_id,is_defective,Value_0h_iddq_ua,Value_24h_iddq_ua,Value_96h_iddq_ua,Value_168h_iddq_ua,Value_0h_leakage_ua,Value_24h_leakage_ua,Value_96h_leakage_ua,Value_168h_leakage_ua,Value_0h_prop_delay_ns,Value_24h_prop_delay_ns,Value_96h_prop_delay_ns,Value_168h_prop_delay_ns,predicted_168h_iddq_ua,predicted_slope_iddq_ua,flag_param_b_iddq_ua,predicted_168h_leakage_ua,predicted_slope_leakage_ua,flag_param_b_leakage_ua,predicted_168h_prop_delay_ns,predicted_slope_prop_delay_ns,flag_param_b_prop_delay_ns,flag_module_b,triggered_parameters_b
C_00001,LOT_000,False,22.0624,23.0609,22.8495,22.9305,10.3478,10.484,10.5903,10.9982,4.6645,4.7195,4.8892,4.9429,23.270992,0.001458974160088432,False,10.841049,0.002479508293999566,False,4.868608,0.0010354722075992158,False,False,
C_00002,LOT_000,False,22.0132,22.2097,22.3103,21.9138,10.5247,10.8687,11.8262,12.4351,5.0603,5.0291,5.1347,5.1223,22.54449,0.002324936209784603,False,11.327882,0.0031887625906202497,False,5.166776,0.0009560845851898216,False,False,
C_00003,LOT_000,False,20.6044,21.0973,21.6167,21.9048,10.6571,10.7238,10.9668,11.4737,5.2269,5.1504,5.0956,5.1558,21.501762,0.0028087665981716536,False,11.235902,0.0035562627262539287,False,5.281207,0.0009083825323316765,False,False,
C_00004,LOT_000,True,22.3081,26.9733,33.7686,37.488,10.5836,16.263,25.2539,31.8559,4.9742,5.6383,6.9438,8.0518,36.81148,0.06832070469326444,True,32.06018,0.10970264350043402,True,8.048534,0.016737738842434353,True,True,"iddq_ua,leakage_ua,prop_delay_ns"
C_00005,LOT_000,False,21.3244,21.2736,21.8572,22.5834,9.5413,9.3928,9.6503,10.0885,4.3446,4.3037,4.4988,4.4954,22.01232,0.005129996977912067,False,9.967809,0.003993116135067414,False,4.4706492,0.0011593697388966873,False,False,
C_00006,LOT_000,False,22.4301,22.9191,23.0714,23.5133,10.1668,10.7227,11.2214,11.8329,4.3677,4.4414,4.6202,4.715,23.543955,0.00433926978641086,False,11.095895,0.002591630649566653,False,4.652383,0.0014651586850484228,False,False,
C_00007,LOT_000,False,21.1427,21.2236,21.1107,21.0178,11.6586,12.4695,12.5686,12.9426,4.7745,4.889,4.808,4.7911,21.93819,0.004962433751424146,False,12.815227,0.0024008788532680933,False,4.9574885,0.00047561483912997613,False,False,
C_00008,LOT_000,True,21.8678,28.5799,36.771,42.606,10.0809,20.2446,37.4311,50.1918,4.9443,6.0244,8.0073,9.4113,44.0954,0.10774654002719457,True,50.2614,0.20844998830159506,True,9.2617,0.022481247753567166,True,True,"iddq_ua,leakage_ua,prop_delay_ns"
C_00009,LOT_000,False,24.8486,23.821,24.1787,25.0968,11.0942,10.9967,11.307,12.2361,4.8214,4.954,4.8824,4.9791,25.072893,0.008693702379862457,False,11.644086,0.004495735306209984,False,4.9503818,-2.5126695632932743e-05,False,False,
C_00010,LOT_000,False,22.3599,22.3357,22.9016,22.3956,10.1538,10.3862,10.8365,10.5198,4.717,4.6288,4.7941,4.8512,23.097195,0.005288157441880974,False,10.747606,0.0025097658157348596,False,4.7873435,0.0011009965419769285,False,False,
C_00011,LOT_000,False,20.8548,20.6383,21.0532,21.0397,11.1954,11.5358,11.9676,12.3433,5.0852,4.7723,4.8279,5.1437,21.292643,0.0045440457873874174,False,11.928409,0.0027264487690395775,False,4.9956446,0.0015510039541456406,False,False,
C_00012,LOT_000,False,21.8335,22.5284,22.7373,23.1134,9.9702,9.569,9.9076,10.2544,4.7565,4.813,4.8531,4.903,22.983019,0.003157075521681035,False,10.112098,0.0037715120845370764,False,4.927902,0.0007979320949978318,False,False,
C_00013,LOT_000,False,22.6258,24.1547,24.2643,23.7583,10.8949,10.7956,10.7957,10.9076,4.7386,4.7923,4.8427,4.9331,23.806398,-0.002418761168585871,False,11.322849,0.0036614532894558354,False,4.951009,0.0011021444214714899,False,False,
